title,location,company,contract_type,experience_level,url,description
Java SDET,"Hyderabad, Pune",Capgemini Engineering,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Hyderabad-Java-SDET/1410905833/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world.Your Role Develop, execute, and maintain Selenium WebDriver automation scripts using Java.Design and implement automation frameworks using BDD and TestNG API testing using Rest Assured Analyze requirements, identify test scenarios, and automate functional UI test cases.Perform cross-browser testing and validation across multiple environments. Debug automation failures, report defects, and collaborate with development teams for issue resolution.Integrate automated test suites with CI/CD pipelines using tools such as Jenkins, GitHub Actions, or Azure DevOps. Your Profile6–8 years of experience in Automation Testing with strong expertise in Java, Selenium, and API Testing.Strong proficiency in Core Java including OOP concepts, Exception Handling, Collections, Streams, and Multithreading concepts.Hands-on experience with Selenium WebDriver, including locators, waits, handling dynamic elements, alerts, frames, and browser interactions.Experience with API testing using Rest AssuredExperience with TestNG or JUnit for test execution, reporting, and suite management.Knowledge of Maven or Gradle for build and dependency management.Experience using Git for source code management and version control. What will you love working at Capgemini?Opportunity to work on cutting‑edge automation frameworks with modern tools like Selenium, and Rest Assured.Exposure to global Agile delivery teams and enterprise‑level automation pipelines.Structured learning programs, certifications, and continuous upskilling opportunities.Collaborative and innovation-led culture focused on engineering excellence and quality‑first delivery. Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2024 global revenues of €22.1 billion.Make it real | www.capgemini.com"
Java AWS Developer,"Chennai (ex Madras), Hyderabad, Bangalore, Pune",Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Pune-Java-AWS-Developer/1399283733/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world. Your RoleWe are looking for an experienced Java AWS Developer - 6 Years to 12 Years  to design, develop, and maintain scalable, secure, and high-performance backend systems. You will work on microservices architecture, RESTful APIs, and cloud-native solutions, collaborating with cross-functional teams to deliver enterprise-grade applicationsYour ProfileDevelop scalable backend services and REST APIs using Java (8+), Spring Boot, and microservices, with strong focus on clean architecture and performance.Implement business logic, database integrations (SQL/NoSQL), security features (Spring Security, OAuth2, JWT), and high‑quality testing (JUnit, Mockito).Collaborate effectively with cross‑functional teams and participate in code reviews, troubleshooting, and production support.Work with CI/CD pipelines.Docker/Kubernetes, cloud platforms, and monitoring tools; exposure to event‑driven and distributed systems.Strong problem‑solving, communication, adaptability, and mentoring skills, with a solid foundation in modern software engineering practicesWhat you'll love about working hereYou can shape your career with us. We offer a range of career paths and internal opportunities within Capgemini group. You will also get personalized career guidance from our leaders.You will get comprehensive wellness benefits including health checks, telemedicine, insurance with top-ups, elder care, partner coverage or new parent support via flexible work.At Capgemini, you can work on cutting-edge projects in tech and engineering with industry leaders or create solutions to overcome societal and environmental challenges.Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2024 global revenues of €22.1 billion.Make it real | www.capgemini.com"
Java Fullstack Developer (Java + Angular/React JS),"Chennai (ex Madras), Hyderabad, Bangalore, Pune",Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Pune-Java-Fullstack-Developer-%28Java-%2B-AngularReact-JS%29/1419192633/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Your RoleWe are looking for an experienced Java Fullstack Developer (Java + Angular/ ReactJS) - 6 Years to 12 Years  to design, develop, and maintain scalable, secure, and high-performance backend systems. You will work on microservices architecture, RESTful APIs, and cloud-native solutions, collaborating with cross-functional teams to deliver enterprise-grade applicationsyour ProfileDevelop scalable backend services and REST APIs using Java (8+), Spring Boot, and microservices, with strong focus on clean architecture and performance.Experience in Front-end technologies like - Angular or ReactJSImplement business logic, database integrations (SQL/NoSQL), security features (Spring Security, OAuth2, JWT), and high‑quality testing (JUnit, Mockito).Collaborate effectively with cross‑functional teams and participate in code reviews, troubleshooting, and production support.Work with CI/CD pipelines.Docker/Kubernetes, cloud platforms, and monitoring tools; exposure to event‑driven and distributed systems.Strong problem‑solving, communication, adaptability, and mentoring skills, with a solid foundation in modern software engineering practicesWhat you'll love about working hereYou can shape your career with us. We offer a range of career paths and internal opportunities within Capgemini group. You will also get personalized career guidance from our leaders.You will get comprehensive wellness benefits including health checks, telemedicine, insurance with top-ups, elder care, partner coverage or new parent support via flexible work.At Capgemini, you can work on cutting-edge projects in tech and engineering with industry leaders or create solutions to overcome societal and environmental challenges.For this role, the gross annual starting base salary is [X] [currency] (full-time). This covers base pay only; any bonuses, incentives, and benefits will be discussed later in the recruitment process. Candidates with additional experience or qualifications may receive a higher offer, determined by objective, gender-neutral criteria and consistent with our pay principles. If a collective labour agreement applies, we will explain the relevant pay terms at the interview stage. Note: We never ask for your current or previous salary during our hiring process."
Java Full Stack Developer (Angular),Bangalore,Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Bangalore-Java-Full-Stack-Developer-%28Angular%29/1411794033/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world. Job DescriptionJava Full Stack Developer (6+ yrs) with strong experience in Java, Spring Boot, Microservices, REST APIs, and Angular. Key Responsibilities:Develop and maintain full-stack applications using Java (Spring Boot) and Angular.Design and build scalable microservices architecture.Develop and consume RESTful APIs.Work on frontend UI development using Angular. Mandatory Skills:Strong experience in Java + Spring Boot.Hands-on with Microservices architecture.Experience in REST API development.Strong frontend experience in Angular (8+).Good knowledge of JavaScript, HTML, CSS.Experience with databases (SQL/Postgres/MySQL) Job Description - Grade SpecificJava Full Stack Developer (6+ yrs) with strong experience in Java, Spring Boot, Microservices, REST APIs, and Angular. Key Responsibilities:Develop and maintain full-stack applications using Java (Spring Boot) and Angular.Design and build scalable microservices architecture.Develop and consume RESTful APIs.Work on frontend UI development using Angular. Mandatory Skills:Strong experience in Java + Spring Boot.Hands-on with Microservices architecture.Experience in REST API development.Strong frontend experience in Angular (8+).Good knowledge of JavaScript, HTML, CSS.Experience with databases (SQL/Postgres/MySQL) Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2024 global revenues of €22.1 billion.Make it real | www.capgemini.com"
SDET( Selenium+Java+API Testing + Rest assured),"Pune, Mumbai (ex Bombay), Hyderabad, Bangalore",Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Pune-SDET%28-Selenium%2BJava%2BAPI-Testing-%2B-Rest-assured%29/1419599333/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Your RoleDesign, develop, and execute automated test scripts using Selenium IDE and other test automation frameworks.Perform automated API testing using tools like Postman, RestAssured, or similar.Conduct functional testing, integration testing, and regression testing across web and API layers.Analyze business and technical requirements to create detailed test cases and automation scenarios.Collaborate closely with developers, product owners, and QA leads to ensure comprehensive test coverage.Review source code, participate in code discussions, and contribute to continuous improvement of automation frameworks.Work with integrated development environments (IDEs) such as VS Code, IntelliJ, Eclipse, or similar.Your Profile6+yrs strong programming skills in Java, with a solid understanding of automation best practicesStrong hands‑on experience with Selenium IDE for UI automation.Experience in automated API testing (Postman, Swagger, RestAssured, SOAP UI, etc.).Proficient in one programming language (Java/Python/JavaScript).Good understanding of functional testing, integration testing, and SDLC/STLC concepts.Experience working with source code editors and IDEs like VS Code, Eclipse, IntelliJ.Solid knowledge of test automation, test design techniques, and script maintenance.What will you love working at Capgemini?Exposure to global Agile delivery teams and enterprise‑level automation pipelines.Structured learning programs, certifications, and continuous upskilling opportunities.Collaborative and innovation-led culture focused on engineering excellence and quality‑first delivery.  "
Risk and Finance Data Consultant (JAVA + GEN AI),"Pune, Hyderabad",Capgemini Invent,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Hyderabad-Risk-and-Finance-Data-Consultant-%28JAVA-%2B-GEN-AI%29/1416929933/?feedId=388633&utm_source=CareerSite&tcsource=apply,"At Capgemini Invent, we believe difference drives change. As inventive transformation consultants, we blend our strategic, creative and scientific capabilities, collaborating closely with clients to deliver cutting-edge solutions. Join us to drive transformation tailored to our client's challenges of today and tomorrow. Informed and validated by science and data. Superpowered by creativity and design. All underpinned by technology created with purpose.Your RoleSolid understanding of Data Structures and Algorithms, with practical exposure to Generative AI concepts and applications.Proven experience in developing and deploying Java and generative AI models.Excellent communication and collaboration skills.Demonstrated problem-solving ability with a strong engineering mindset and attention to scalable, high-quality solutions.Your ProfileMinimum 7+ years of hands-on experience in software development. Solid understanding of Data Structures and Algorithms, with practical exposure to Generative AI concepts and applications.Experience with Large Language Models (LLMs) and experience or understanding of Retrieval-Augmented Generation (RAG) frameworks.Strong experience in Database Management, including hands-on work with SQL and Relational Database Management Systems (RDBMS).Experience in Java, with strong expertise in Spring Framework / Spring Boot, building RESTful APIs, and working within Microservices architecture. What you'll love about working hereWe recognize the significance of flexible work arrangements to provide support.Be it remote work, or flexible work hours, you will get an environment to maintain healthy work life balance.At the heart of our mission is your career growth. Our array of career growth programs and diverse professions are crafted to support you in exploring a world of opportunities.Equip yourself with valuable certifications in the latest technologies such as Generative AI.Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, generative AI, cloud and data, combined with its deep industry expertise and partner ecosystem."
Java GCP,Bangalore,Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Bangalore-Java-GCP/1411752633/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Your RoleDesign, develop, and implement scalable microservices-based applications using Java, Spring Boot, and related technologies.Build and maintain RESTful APIs with a focus on performance, security, and scalability.Collaborate with architecture, DevOps, and business teams to deliver robust enterprise solutions.Support application enhancements, bug fixes, production issues, and change requests.Participate in solution design, effort estimation, code reviews, testing, and deployment activities.Implement and maintain CI/CD pipelines and containerized deployments.Document technical solutions and contribute to continuous improvement initiatives.Work within Agile/Scrum teams to deliver high-quality software solutions. Your ProfileExperience in Java application development and microservices architecture.Strong hands-on expertise in Java 8+, Spring Boot, REST Services, XML, and JSON.Mandatory experience with IBM WebSphere Development.Experience with Spring, Struts, Angular, and API-driven application development.Strong knowledge of SQL and NoSQL databases.Hands-on experience with Docker, Kubernetes, Git, Message Queues, and Caching Technologies.Experience with Swagger, Maven/Gradle, Jenkins, and CI/CD pipelines.Exposure to AWS and/or GCP cloud environments.Strong debugging, problem-solving, and production support experience.Excellent communication skills with the ability to work effectively in cross-functional teams.What you will love about working hereWe’re committed to ensure that people of all backgrounds feel encouraged and have a sense of belonging at Capgemini. You are valued for who you are, and you can bring your original self to work.Every Monday, kick off the week with a musical performance by our in-house band - The Rubber Band. Also get to participate in internal sports events, yoga challenges, or marathons.At Capgemini, you can work on cutting-edge projects in tech and engineering with industry leaders or create solutions to overcome societal and environmental challenges. "
Java Fullstack (Java with React),Bangalore,Capgemini,Permanent,Executives,https://careers.capgemini.com/job/Bangalore-Java-Fullstack-%28Java-with-React%29/1417170833/?feedId=388633&utm_source=CareerSite&tcsource=apply,"At Capgemini Engineering, the world leader in engineering services, we bring together a global team of engineers, scientists, and architects to help the world’s most innovative companies unleash their potential. From autonomous cars to life-saving robots, our digital and software technology experts think outside the box as they provide unique R&D and engineering services across all industries. Join us for a career full of opportunities. Where you can make a difference. Where no two days are the same.Java Fullstack ReactYour RoleDevelop and maintain scalable full-stack applications using Java, Spring Boot, Microservices, React.js, and REST APIs.Build responsive front-end components and integrate them with secure, high-performance backend services.Collaborate with cross-functional teams to deliver high-quality software using Agile/Scrum methodologies.Troubleshoot, optimize, and enhance application performance while ensuring code quality through testing and best practices.Your Profile4–8 years of hands-on experience in Java, Spring Boot, React.js, Microservices, REST APIs, and SQL/NoSQL databases.Strong understanding of object-oriented programming, design patterns, and front-end development concepts.Experience with Git, CI/CD pipelines, cloud platforms (AWS/Azure/GCP), and containerization tools like Docker/Kubernetes is preferred.Excellent problem-solving, communication, and teamwork skills with the ability to work in a fast-paced environment.What you'll love about working hereYou can shape your career with us. We offer a range of career paths and internal opportunities within Capgemini group. You will also get personalized career guidance from our leaders. You will get comprehensive wellness benefits including health checks, telemedicine, insurance with top-ups, elder care, partner coverage or new parent support via flexible work. At Capgemini, you can work on cutting-edge projects in tech and engineering with industry leaders or create solutions to overcome societal and environmental challenges.  Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, generative AI, cloud and data, combined with its deep industry expertise and partner ecosystem."
Java Fullstack Angular,Mumbai (ex Bombay),Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Mumbai-%28ex-Bombay%29-Java-Fullstack-Angular/1412083533/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world.Your RoleDesign, develop, and maintain scalable web applications using Angular on the front end and Java/Spring Boot on the back end.Build responsive and reusable UI components, ensuring an excellent user experience across devices.Develop and consume RESTful APIs, integrating front-end applications with backend services and databases.Collaborate with cross-functional teams including Product Owners, Architects, QA, and DevOps to deliver high-quality solutions.Participate in code reviews, troubleshooting, performance optimization, and implementation of best development practices.Your ProfileWork in an Agile/Scrum environment, contributing to sprint planning, stand-ups, and retrospectives.Continuously learn and adopt modern technologies, frameworks, and development methodologies.Take ownership of features from requirement analysis through development, testing, and production deployment.Collaborate with global teams and stakeholders to solve complex business challenges.Contribute to a culture of innovation, quality, teamwork, and continuous improvement while building enterprise-grade applications.What you will love about working hereYou can shape your career with us. We offer a range of career paths and internal opportunities within Capgemini group. You will also get personalized career guidance from our leaders.You will get comprehensive wellness benefits including health checks, telemedicine, insurance with top-ups, elder care, partner coverage or new parent support via flexible work. You will have the opportunity to learn on one of the industry's largest digital learning platforms, with access to 250,000+ courses and numerous certifications.Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2024 global revenues of €22.1 billion.Make it real | www.capgemini.com"
GCP Gravitee .NET/Java Offshore,Navi Mumbai,Capgemini,Permanent,Experienced Professionals,https://careers.capgemini.com/job/Navi-Mumbai-GCP-Gravitee-_NETJava-Offshore/1412170933/?feedId=388633&utm_source=CareerSite&tcsource=apply,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world.Your RoleDevelop, deploy, and maintain cloud-native applications and APIs using Java (.NET/Core or Spring Boot) on Google Cloud Platform (GCP).Configure, manage, and support Gravitee API Management/Gateway solutions, including API security, traffic management, and monitoring.Design and implement scalable microservices architectures leveraging GCP services such as GKE, Cloud Run, Pub/Sub, and Cloud SQL.Collaborate with DevOps and cross-functional teams to build and maintain CI/CD pipelines, containerized deployments, and cloud automation.Troubleshoot production issues, perform root cause analysis, and ensure application reliability, performance, and security.Your ProfileProven experience in Java (Spring Boot) or .NET Core application development and REST API design.Hands-on expertise with Google Cloud Platform (GCP) services and cloud-native application deployment.Strong knowledge of Gravitee API Management, API Gateway configuration, API security policies, and integration patterns.Experience with Docker, Kubernetes, CI/CD tools, and microservices-based architectures.Excellent communication, problem-solving, and stakeholder management skills, with the ability to work effectively in an offshore/global delivery environment.What you will love about working hereYou can shape your career with us. We offer a range of career paths and internal opportunities within Capgemini group. You will also get personalized career guidance from our leaders.You will get comprehensive wellness benefits including health checks, telemedicine, insurance with top-ups, elder care, partner coverage or new parent support via flexible work. You will have the opportunity to learn on one of the industry's largest digital learning platforms, with access to 250,000+ courses and numerous certifications. Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem, leveraging our capabilities across strategy, technology, design, engineering and business operations. The Group reported 2024 global revenues of €22.1 billion.Make it real | www.capgemini.com"
